Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction
India,Male,28,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,360000,INR,Data Analyst,Perfectly,R,No,76-99% of projects,1 - Highly Dissatisfied
Hong Kong,Male,38,Employed full-time,Technology,Bachelor's degree,Management information systems,288000,HKD,Programmer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6
France,Male,26,Employed full-time,Other,Master's degree,Engineering (non-computer focused),35000,EUR,Scientist/Researcher,Fine,Python,No,76-99% of projects,7
Hong Kong,Female,26,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,19000,HKD,Researcher,Perfectly,Matlab,No,Less than 10% of projects,8
Netherlands,Male,33,Employed full-time,Other,Master's degree,Mathematics or statistics,45000,EUR,Researcher,Fine,Matlab,Yes,100% of projects,4
Other,Male,22,Employed part-time,Academic,Some college/university study without earning a bachelor's degree,Other,80000,KZT,Statistician,Poorly,R,Sort of (Explain more),76-99% of projects,5
People 's Republic of China,Male,30,Employed full-time,Financial,Bachelor's degree,Computer Science,8000,BSD,Data Analyst,Fine,Python,No,10-25% of projects,6
Spain,Male,24,Employed full-time,Internet-based,Some college/university study without earning a bachelor's degree,Mathematics or statistics,18000,EUR,Software Developer/Software Engineer,Perfectly,Python,No,10-25% of projects,5
Denmark,Male,39,"Independent contractor, freelancer, or self-employed",Technology,Doctoral degree,Mathematics or statistics,800000,DKK,Computer Scientist,Perfectly,Python,Yes,76-99% of projects,6
Pakistan,Female,25,Employed full-time,Academic,Master's degree,Computer Science,45000,PKR,Computer Scientist,Fine,Python,Yes,10-25% of projects,5
France,Female,32,Employed full-time,Government,Master's degree,Mathematics or statistics,52000,EUR,Predictive Modeler,Poorly,R,No,10-25% of projects,7
Other,Male,40,Employed full-time,Telecommunications,Master's degree,Computer Science,110000,USD,Computer Scientist,Poorly,R,No,51-75% of projects,6
India,Male,27,Employed full-time,Retail,Bachelor's degree,Engineering (non-computer focused),650000,INR,Software Developer/Software Engineer,Poorly,R,No,None,2
Spain,Male,25,Employed full-time,Technology,Master's degree,Mathematics or statistics,19000,EUR,Data Analyst,Fine,Python,Yes,76-99% of projects,9
Mexico,Male,27,Employed part-time,Academic,Master's degree,Computer Science,156000,MXN,Scientist/Researcher,Perfectly,Python,No,51-75% of projects,8
Russia,Female,24,Employed full-time,Academic,Master's degree,Mathematics or statistics,52000,RUB,Business Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,6
India,Female,25,Employed full-time,Government,Master's degree,Electrical Engineering,25000,INR,Researcher,Fine,C/C++/C#,No,26-50% of projects,3
Switzerland,Male,34,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,100000,CHF,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,5
France,Male,34,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,Mathematics or statistics,18000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,9
Taiwan,Male,28,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,A social science,700000,TWD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,4
United States,Male,33,Employed full-time,Academic,Doctoral degree,Physics,67000,USD,Scientist/Researcher,Perfectly,Python,No,10-25% of projects,7
People 's Republic of China,Male,24,Employed full-time,Academic,Master's degree,Electrical Engineering,100,ALL,Researcher,Fine,Scala,Sort of (Explain more),10-25% of projects,2
Denmark,Male,37,Employed full-time,Technology,Master's degree,Physics,34000,DKK,Software Developer/Software Engineer,Fine,Matlab,Yes,Less than 10% of projects,7
Pakistan,Male,33,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,30000,PKR,Data Analyst,Fine,R,Yes,Less than 10% of projects,6
Spain,Male,34,Employed full-time,Other,Master's degree,Computer Science,44000,EUR,Scientist/Researcher,Perfectly,R,Sort of (Explain more),76-99% of projects,8
India,Female,27,Employed full-time,Technology,Bachelor's degree,Computer Science,1000000,INR,Predictive Modeler,Fine,R,No,76-99% of projects,10 - Highly Satisfied
Sweden,Male,46,Employed full-time,Academic,Doctoral degree,Other,480000,SEK,Researcher,Fine,Python,Yes,76-99% of projects,9
Denmark,Male,33,Employed full-time,Technology,Master's degree,Physics,660000,DKK,Data Analyst,Fine,SQL,Yes,76-99% of projects,6
Singapore,Male,39,Employed full-time,Manufacturing,Master's degree,Computer Science,78000,SGD,Data Analyst,Fine,R,Yes,10-25% of projects,7
India,Male,32,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),2200000,INR,Business Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,3
Other,Male,30,Employed full-time,Other,Master's degree,Physics,75000,GBP,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,5
Belgium,Male,31,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),65000,EUR,Other,Perfectly,Python,Yes,100% of projects,7
People 's Republic of China,Male,39,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",500000,CNY,Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,7
India,Female,23,Employed full-time,Financial,Master's degree,Mathematics or statistics,180000,ALL,Statistician,Fine,SQL,Yes,26-50% of projects,6
Spain,Male,45,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,35000,EUR,Data Analyst,Fine,Python,Yes,100% of projects,7
Netherlands,Male,43,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,58000,EUR,Software Developer/Software Engineer,Fine,R,No,10-25% of projects,7
France,Male,22,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",26000,EUR,Data Analyst,Fine,C/C++/C#,No,76-99% of projects,7
Romania,Male,32,Employed full-time,Technology,Doctoral degree,Computer Science,26000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,9
Australia,Male,36,Employed full-time,Insurance,Master's degree,"Information technology, networking, or system administration",80000,AUD,Software Developer/Software Engineer,Perfectly,C/C++/C#,No,26-50% of projects,3
India,Male,34,Employed full-time,Financial,Master's degree,Computer Science,2300000,INR,DBA/Database Engineer,Perfectly,SQL,Yes,76-99% of projects,5
Poland,Male,27,Employed full-time,Mix of fields,Master's degree,Other,84000,PLN,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,7
People 's Republic of China,Male,41,"Independent contractor, freelancer, or self-employed",Retail,Bachelor's degree,Other,300000,CNY,Other,Fine,R,No,51-75% of projects,7
Mexico,Male,54,"Independent contractor, freelancer, or self-employed",Retail,Master's degree,Electrical Engineering,100000,MXN,Engineer,Poorly,R,No,100% of projects,5
Russia,Male,22,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,528000,RUB,Computer Scientist,Perfectly,Haskell,Yes,10-25% of projects,5
People 's Republic of China,Male,28,Employed full-time,Other,Master's degree,Computer Science,70000,USD,Machine Learning Engineer,Fine,Python,No,10-25% of projects,8
Israel,Female,27,Employed full-time,Academic,Master's degree,Physics,70000,ILS,Scientist/Researcher,Perfectly,Python,No,26-50% of projects,8
India,Male,24,Employed full-time,Technology,Master's degree,Electrical Engineering,1150000,INR,Software Developer/Software Engineer,Poorly,Python,Yes,10-25% of projects,3
Russia,Male,34,Employed full-time,Financial,Some college/university study without earning a bachelor's degree,Computer Science,1500000,RUB,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,9
Denmark,Male,34,Employed full-time,Other,Master's degree,Engineering (non-computer focused),450000,DKK,Data Analyst,Poorly,Python,No,76-99% of projects,2
United Kingdom,Male,23,Employed full-time,Technology,Bachelor's degree,Biology,25000,GBP,Other,Fine,R,Yes,76-99% of projects,4
Spain,Female,61,Employed full-time,Government,Doctoral degree,Mathematics or statistics,72000,EUR,Scientist/Researcher,Perfectly,Python,Yes,26-50% of projects,7
Russia,Male,22,Employed full-time,Internet-based,Master's degree,Computer Science,70000,RUB,Software Developer/Software Engineer,Fine,R,Yes,10-25% of projects,8
Norway,Female,28,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",250000,NOK,Researcher,Fine,Python,No,Less than 10% of projects,2
Norway,Male,40,Employed full-time,Other,Master's degree,Mathematics or statistics,730000,NOK,Data Analyst,Fine,R,Yes,51-75% of projects,5
United Kingdom,Male,60,Employed full-time,Academic,Bachelor's degree,A humanities discipline,55000,GBP,Other,Perfectly,Python,Sort of (Explain more),100% of projects,4
Other,Male,49,"Independent contractor, freelancer, or self-employed",Retail,Master's degree,Engineering (non-computer focused),20000,USD,Programmer,Fine,Python,Sort of (Explain more),10-25% of projects,7
Other,Male,44,Employed full-time,Telecommunications,Doctoral degree,"Information technology, networking, or system administration",180000,HRK,Business Analyst,Poorly,Python,Yes,76-99% of projects,8
France,Female,38,Employed full-time,Technology,Doctoral degree,Electrical Engineering,53000,EUR,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,7
India,Male,36,Employed full-time,Academic,Master's degree,Computer Science,480000,INR,Programmer,Fine,R,No,10-25% of projects,I prefer not to share
Australia,Male,28,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,135000,AUD,Statistician,Perfectly,Python,Yes,76-99% of projects,8
Turkey,Male,27,Employed full-time,Telecommunications,Master's degree,Computer Science,4450,TRY,Data Analyst,Fine,C/C++/C#,Yes,76-99% of projects,8
Other,A different identity,99,Employed full-time,Government,Bachelor's degree,"Information technology, networking, or system administration",15000,EUR,Other,Poorly,SQL,No,Less than 10% of projects,6
Turkey,Male,26,Employed full-time,Mix of fields,Bachelor's degree,Electrical Engineering,54000,TRY,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,7
India,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Electrical Engineering,67000,INR,Data Analyst,Fine,Python,No,10-25% of projects,7
Denmark,Male,29,Employed full-time,Academic,Master's degree,Electrical Engineering,120000,DKK,Scientist/Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,5
India,Male,26,Employed full-time,Academic,Doctoral degree,Electrical Engineering,336000,INR,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),10-25% of projects,7
France,Male,39,Employed full-time,Financial,Master's degree,Physics,110000,EUR,Other,Fine,Python,No,Less than 10% of projects,6
New Zealand,Female,30,Employed full-time,Academic,Master's degree,Computer Science,25000,NZD,Researcher,Fine,Matlab,Yes,100% of projects,6
Other,Male,34,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,100000,EUR,Machine Learning Engineer,Fine,C/C++/C#,Yes,10-25% of projects,7
Italy,Male,35,Employed full-time,Other,Doctoral degree,Biology,30000,EUR,Scientist/Researcher,Poorly,Python,Yes,100% of projects,7
People 's Republic of China,Male,33,Employed full-time,Telecommunications,Bachelor's degree,"Information technology, networking, or system administration",200000,CNY,Data Analyst,Fine,SQL,No,51-75% of projects,6
United States,Male,36,Employed full-time,Insurance,Bachelor's degree,A social science,90000,USD,Software Developer/Software Engineer,Poorly,Stata,No,Less than 10% of projects,I prefer not to share
Italy,Male,22,Employed part-time,Technology,Bachelor's degree,Computer Science,10000,EUR,Computer Scientist,Fine,Python,Sort of (Explain more),51-75% of projects,7
Australia,Male,50,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,"Information technology, networking, or system administration",100000,AUD,Data Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,8
South Africa,Female,37,Employed full-time,Retail,Master's degree,Mathematics or statistics,600000,ZAR,Statistician,Perfectly,R,Yes,10-25% of projects,7
France,Male,35,"Independent contractor, freelancer, or self-employed",Military/Security,Master's degree,Engineering (non-computer focused),80000,EUR,Other,Fine,Python,Yes,76-99% of projects,10 - Highly Satisfied
India,Male,27,Employed full-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),600000,INR,Machine Learning Engineer,Fine,Python,No,10-25% of projects,8
Russia,Male,27,"Independent contractor, freelancer, or self-employed",Retail,Bachelor's degree,Mathematics or statistics,5000,USD,Data Analyst,Poorly,C/C++/C#,Sort of (Explain more),10-25% of projects,5
India,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,400000,INR,Business Analyst,Fine,Python,Yes,100% of projects,1 - Highly Dissatisfied
Other,Male,32,Employed full-time,Internet-based,Master's degree,Computer Science,1200000,RUB,Machine Learning Engineer,Poorly,Python,No,100% of projects,7
Russia,Male,30,"Independent contractor, freelancer, or self-employed",Other,Master's degree,Computer Science,30000,USD,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,7
Singapore,Female,31,Employed full-time,Technology,Master's degree,Mathematics or statistics,55200,SGD,Data Analyst,Perfectly,Scala,No,51-75% of projects,9
France,Male,25,Employed full-time,Insurance,Master's degree,Mathematics or statistics,47000,EUR,Statistician,Poorly,R,No,51-75% of projects,7
Russia,Male,23,Employed part-time,Academic,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",256,RUB,Computer Scientist,Poorly,Python,Yes,10-25% of projects,5
Kenya,Male,21,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,120000,KES,Data Analyst,Fine,R,Yes,Less than 10% of projects,5
